모델명,사진폴더(상대경로),판정,비고
we00130,we00130,O,사용자 확인 2026-09-22: 제품번호 정확히 일치하는 폴더만 맞음
we00130,we000130,X,다른 제품번호(앞자리 0 개수 다름)
mn000013,★남자주얼리\mn000013,O,사용자 확인 2026-09-22
mn000013,★남자주얼리\mn0013,X,다른 제품번호
mn000009,★남자주얼리\mn000009,O,사용자 확인 2026-09-22
mn000009,★남자주얼리\mn0009,X,다른 제품번호
mn000003,mn000003,O,사용자 확인 2026-09-22
mn000003,mn0003 써지컬스틸 수호천사날개 목걸이 기본,X,다른 제품번호
wb00367,신상작업\3.업로드작업\202504\양면자개원형 볼체인 팔찌_실버_wb00367,삭제됨,사용자가 불필요 폴더로 직접 삭제 2026-09-22
we00230,we00230,삭제됨,빈 폴더. 사용자가 직접 삭제 2026-09-22
we00483,we00483,O,사용자 확인 2026-09-22
we00483,we00483 신주 하늘하늘 물결체인 드롭귀걸이,O,사용자 확인 2026-09-22
we011804,에폭시하트 3\we011804 에폭시하트 로즈골드,O,사용자 확인 2026-09-22
we011804,에폭시하트 3\보정\we011804 에폭시하트 로즈골드,O,사용자 확인 2026-09-22 (보정본)
we00486,we00486,O,사용자 확인 2026-09-22
we00486,we00486 ws0000114,O,사용자 확인 2026-09-22
we00486,큐빅 로마숫자원형자개 wn00486 we00486 ws00486,O,사용자 확인 2026-09-22 (여러 제품 공유 폴더)
mb011243,,사진불필요,사용자 확인 2026-09-22: 판매중지+가품의심 → 영구 재등록금지라 사진 필요 없음
ms000129,,사진없음,사용자 확인 2026-09-22: 사진 폴더를 찾지 못함
wr00059,,복원됨,사용자가 구글드라이브에서 ★전체제품사진으로 다시 옮김 2026-09-22 (재스캔 시 자동 매칭 예정)
wa000268,노이드비 AI상품등록 완료 폴더\발찌\wa0004\wa000268,O,사용자 확인 2026-09-22
wa000268,재등록대기\wb00267 wb00267 we00578 wa000268 wn011629 크리스탈 물결체인,O,사용자 확인 2026-09-22 (여러 제품 공유 폴더)
wr00059,노이드비 AI상품등록 완료 폴더\반지\wr0004\원본\wr00059,O,사용자 확인 2026-09-22
wr00059,노이드비 AI상품등록 완료 폴더\반지\wr00059,O,사용자 확인 2026-09-22
wa011147,노이드비 AI상품등록 완료 폴더\발찌\wa0003\원본\wa011147,O,사용자 확인 2026-09-22
wa011147,신상작업\2.작업대기\기존상품 수정\wa011147,O,사용자 확인 2026-09-22
ws011406,(최상위),X,사용자 확인 2026-09-22: 최상위에 흩어진 파일이 아니라 별도 폴더가 있음 (폴더 경로 확인 필요)
ws011406,wp011406,O,사용자 확인 2026-09-22: 세트(ws)가 피어싱(wp) 구성이라 wp 폴더에 사진 있음
we00290,we00290,O,사용자 확인 2026-09-22
we00290,we00290 써지컬스틸 스틱버튼 코인두줄체인귀걸이,O,사용자 확인 2026-09-22
wn011140,wn011140,O,사용자 확인 2026-09-22
wn011140,wn011140 큐빅나비,O,사용자 확인 2026-09-22
ws011793,011793 진주세트,O,사용자 확인 2026-09-22: 바깥 폴더 전체로 연결 (폴더명에 ws 없이 숫자만)
ws011793,011793 진주세트\보정,X,상위 폴더(011793 진주세트)로 대체
ws011793,011793 진주세트\보정\세트1000,X,상위 폴더(011793 진주세트)로 대체
we005267,신상작업\2.작업대기\기존상품 수정\we00526,O,사용자 확인 2026-09-22: 비슷한 제품 we00526과 같이 촬영해 그 폴더에 함께 있음
ws0000088,wn0000086,O,사용자 확인 2026-09-22: 같은 사진 (세트상품 ws ↔ 구성품 wn 폴더)
wa000268,★모음전\써지컬스틸발찌모음\wa00268,O,사용자 확인 2026-09-22: 폴더명은 wa00268이지만 같은 제품 사진 (번호 표기 예외)
